Variable,Coefficient,Std Error,t-stat,p-value,Sig
const,1.165930538092062,0.45776926051998135,2.546983029764118,0.010865871713372614,*
Sent,0.0018056368803228144,0.00042148885587769925,4.283949279187454,1.836047857074379e-05,***
Clicks,0.0015397241901456975,0.0005599261165772085,2.7498702856689916,0.00596188602167325,**
Bounces,1.245395104846966,0.1687186091456166,7.381492244119309,1.565251351241712e-13,***
Refusals,-0.3637595358894029,0.1262871400509756,-2.880416293714245,0.0039715039552907965,**
DayNum,-0.42289182254081364,0.049826446498887234,-8.487296451097672,2.114997457768027e-17,***
Post_Decline,2.8443431524110605,0.5264906062558622,5.402457553114966,6.573401563333797e-08,***
Carrier_DISH,2.832137439531219,0.3983895800626911,7.108964644822161,1.1691668975659623e-12,***
Carrier_TMobile,7.664609475670942,0.5511052930341317,13.907704339896894,5.687580712141169e-44,***
Carrier_USCellular,2.4345222369290997,0.394429071997091,6.172268754436678,6.731694436844235e-10,***
Carrier_Unknown,3.0373264654622636,0.38460904069664975,7.897179067763711,2.8528637313213788e-15,***
Carrier_Verizon,10.476259452678729,0.6716826558912753,15.59703732230137,7.625149102198735e-55,***
Seg_New Data,-2.178083506136928,0.3504938283253595,-6.214327700272762,5.154485758780808e-10,***
Seg_TriggeredSend,-2.1995376067488355,0.4353594552070566,-5.052233460055984,4.3667349132191325e-07,***
PG_Retired (4 numbers),-0.09421139971841232,0.24552132130072135,-0.3837198301935642,0.7011861133485305,
